duration,num_updates,action_loss,eval_avg_reward,eval_avg_ep_len,eval_d4rl_score,,,,100£»1,10£»1,1£»1,1£»10,1£»100,1£»1000
0:58:14,103800,0.126317215,-43.22122006,1000,1.908613109,,,,-43.22122006,-43.74375823,-44.80652977,-45.7615768,-44.2532099,-44.87634754
0:59:17,103900,0.124906891,-51.29539876,1000,1.843578374,,,,-51.29539876,-49.91855379,-49.79815034,-49.32679876,-49.08651111,-48.89135237
1:00:19,104000,0.122841629,-63.96473119,1000,1.741531255,,,,-63.96473119,-63.99407389,-64.40345877,-64.32760395,-64.09983939,-65.07563215
1:01:20,104100,0.120780081,-41.19033071,1000,1.924971224,,,,-41.19033071,-39.09895871,-41.88648101,-40.27605293,-41.48289852,-40.21559527
1:02:21,104200,0.117716622,-43.15036247,1000,1.909183842,,,,-43.15036247,-43.32540535,-43.034651,-42.50167648,-43.10557704,-41.38985036
1:03:23,104300,0.118815523,-47.97544801,1000,1.870319436,,,,-47.97544801,-45.96153837,-48.45238619,-46.39844465,-47.18061235,-45.43291944
1:04:26,104400,0.115159411,-45.04518784,1000,1.893921675,,,,-45.04518784,-45.16430777,-39.90620547,-44.27259487,-46.10807771,-44.89139601
1:05:27,104500,0.113491533,-55.8608495,1000,1.806805237,,,,-55.8608495,-57.86998921,-56.34895735,-59.71668267,-57.68780322,-57.26648149
1:06:29,104600,0.11285818,-51.03775697,1000,1.84565359,,,,-51.03775697,-48.66195463,-49.55272708,-50.47059069,-49.51599092,-47.39012226
1:07:29,104700,0.112283292,-62.3535135,1000,1.75450906,,,,-62.3535135,-60.86843018,-63.12717256,-61.83616625,-61.95709536,-63.64549656
1:08:30,104800,0.110129072,-64.16495777,1000,1.739918499,,,,-64.16495777,-60.81473349,-60.43669603,-59.8016397,-61.51433571,-62.23903324
1:09:33,104900,0.108556802,-48.4798794,1000,1.866256415,,,,-48.4798794,-50.80955954,-48.82611363,-51.54320997,-51.29189752,-45.66222885
1:10:36,105000,0.107478205,-59.45541777,1000,1.777852225,,,,-59.45541777,-58.37958632,-57.69115549,-60.62016538,-56.3923937,-59.12362925
1:11:37,105100,0.105173056,-50.23200214,1000,1.852143668,,,,-50.23200214,-48.77969451,-50.76766603,-52.12065823,-53.27977717,-50.99179114
1:12:38,105200,0.103835501,-64.89779188,1000,1.734015772,,,,-64.89779188,-66.60946526,-64.50342705,-66.23474969,-65.7124984,-66.3238169
1:13:39,105300,0.103579228,-81.51061059,1000,1.600205226,,,,-81.51061059,-80.9043648,-77.52728589,-82.24946969,-76.13198773,-79.64533343
1:14:41,105400,0.101634558,-59.74421229,1000,1.775526084,,,,-59.74421229,-59.05974461,-58.22972142,-58.62177894,-59.19047658,-58.8876637
1:15:43,105500,0.100890395,-48.63154643,1000,1.865034789,,,,-48.63154643,-49.55846622,-49.11878172,-42.5837859,-46.45753629,-46.20265877
1:16:45,105600,0.099110522,-65.99149066,1000,1.725206404,,,,-65.99149066,-24.97058578,-70.12324363,-69.32615266,-71.45615338,-71.76915993
1:17:45,105700,0.099550665,-78.36788785,1000,1.625518778,,,,-78.36788785,-74.73761805,-76.93313582,-81.45369454,-76.75483825,-77.86020729
1:18:46,105800,0.097233523,-10.74444299,1000,2.170202387,,,,-10.74444299,-62.01341132,-62.34216722,85.69515724,358.1275959,-57.48675049
1:19:47,105900,0.097168917,-72.57394203,1000,1.67218702,,,,-72.57394203,-75.65464506,177.5089172,-72.59329182,381.8415354,-73.91679189
1:20:50,106000,0.095890209,317.9911878,1000,4.818054924,,,,317.9911878,-52.57114508,-55.17986519,-58.53115872,-55.42014262,26.36267212
1:21:51,106100,0.093453648,148.5993596,1000,3.453661958,,,,148.5993596,-28.70015256,418.3437343,398.4432149,90.72354428,352.5366665
1:22:52,106200,0.093921663,315.9468229,1000,4.801588267,,,,315.9468229,639.4049841,316.4315333,432.7183644,329.4850172,1269.151431
1:23:52,106300,0.09115468,31.63136246,1000,2.511524938,,,,31.63136246,320.7971571,421.0957776,173.9239826,933.4040273,108.266375
1:24:54,106400,0.09108665,898.4579852,1000,9.4935155,,,,898.4579852,1233.294951,1209.699677,378.7896728,1249.150519,991.8748301
1:25:57,106500,0.091150326,475.5166057,1000,6.086868031,,,,475.5166057,672.2718252,1089.837102,585.373559,267.0157111,1053.080074
1:26:57,106600,0.089593834,694.0909724,1000,7.847409442,,,,694.0909724,113.0250864,1033.342877,350.7727106,295.0890711,245.5055642
1:27:58,106700,0.089685797,1969.95401,1000,18.12404776,,,,1969.95401,2005.886662,1044.290175,935.0199239,2116.221182,2375.539691
1:28:59,106800,0.088143555,1663.481139,1000,15.6555141,,,,1663.481139,1404.918477,1248.230043,1274.572878,1745.491047,1033.691857
1:30:00,106900,0.087171528,1417.403908,1000,13.67344657,,,,1417.403908,797.0671231,593.6138638,780.7924421,651.8513044,1825.626269
1:31:02,107000,0.087433676,1307.546055,1000,12.78857932,,,,1307.546055,1091.455457,1202.002348,1419.624396,895.2570117,907.5726704
1:32:03,107100,0.085731511,2239.597839,1000,20.29593614,,,,2239.597839,3163.675605,2919.697993,2812.045591,2189.46873,1992.962283
1:33:04,107200,0.085882336,652.9045495,1000,7.51566696,,,,652.9045495,722.5154418,634.125325,900.2495451,2439.907886,1797.376462
1:34:05,107300,0.08485635,1253.817068,1000,12.35581079,,,,1253.817068,2333.5012,1273.170011,1701.519736,2236.902043,1041.614142
1:35:06,107400,0.083090235,1688.474249,1000,15.85682501,,,,1688.474249,1653.546423,2080.437697,2295.859751,2210.890723,1420.643007
1:36:09,107500,0.083011716,1860.588787,1000,17.24314847,,,,1860.588787,1946.345255,2266.813949,1286.346331,1965.869935,2047.532168
1:37:09,107600,0.080660041,1112.938859,1000,11.22108523,,,,1112.938859,1052.604934,1639.362789,908.9407854,543.4452044,1595.538676
1:38:10,107700,0.082183895,2107.674298,1000,19.23333735,,,,2107.674298,2851.660278,2945.095846,2378.504774,2464.274957,2151.73027
1:39:11,107800,0.081074806,1718.288053,1000,16.09696496,,,,1718.288053,3902.234767,2090.47938,3510.488382,3065.249378,1562.697787
1:40:12,107900,0.079596688,3234.556831,1000,28.3099889,,,,3234.556831,2412.285626,3186.621968,2479.149175,2870.763231,3782.896757
1:41:15,108000,0.080058278,3852.936344,1000,33.29082338,,,,3852.936344,2452.838301,3073.784464,2935.087582,1874.259078,2305.211114
1:42:16,108100,0.078275685,3455.684971,1000,30.09110008,,,,3455.684971,3441.865704,3762.138491,2128.521453,3005.680697,2782.21402
1:43:17,108200,0.079900232,3235.735248,1000,28.31948065,,,,3235.735248,3041.566132,3678.582915,2558.105154,2987.895844,3939.858153
1:44:17,108300,0.078138757,3330.461164,1000,29.08246535,,,,3330.461164,3543.56065,3213.122217,3445.809732,3222.787806,3663.049375
1:45:19,108400,0.076733708,2761.238924,1000,24.49757582,,,,2761.238924,3519.527896,3679.455343,2895.65401,2862.981377,3355.539892
1:46:22,108500,0.077432679,3666.682826,1000,31.79061529,,,,3666.682826,3663.313017,3079.361958,3447.460095,4249.453443,3068.192612
1:47:22,108600,0.076353666,3198.664011,1000,28.02088457,,,,3198.664011,3224.371716,3991.489807,2223.286193,3583.998286,3289.681538
1:48:23,108700,0.075213675,3733.784742,1000,32.33109817,,,,3733.784742,3004.246215,3539.165856,3927.108514,3473.426317,3389.658607
1:49:24,108800,0.075756117,2759.577358,1000,24.48419248,,,,2759.577358,3460.115516,2624.167874,2407.276498,2916.518557,2006.317924
1:50:25,108900,0.074205444,2287.526059,1000,20.68198148,,,,2287.526059,2980.341195,2948.534508,4245.581872,1937.22761,3525.499107
1:51:28,109000,0.074568414,4082.881538,1000,35.14295289,,,,4082.881538,3617.850738,3526.807396,4120.612876,3380.25219,3819.531461
1:52:29,109100,0.074645776,3863.776247,1000,33.37813507,,,,3863.776247,3500.695849,4286.943247,4204.505756,3689.503555,3777.008635
1:53:30,109200,0.073923147,3367.715655,1000,29.38253747,,,,3367.715655,4097.477262,4008.465793,3114.029321,3532.914435,3961.36434
