0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
-0.069809556,-0.029894067,0.17564009,-0.105793566,-0.4109678,-0.6804755,0.027839452,-0.46415874,3.474169,0.35655642,-0.3808452,3.650838,-2.309509,-0.2688836,8.516556,-4.542721,0.332583
-0.06297766,-0.023374157,-0.04064782,-0.273301,-0.4074732,-0.2598759,0.08179401,-0.103626944,2.5754879,-0.15519878,0.3676397,-8.019876,-3.9171185,-0.02460257,7.373758,4.6109858,10.030896
-0.08925755,-0.060560077,-0.4262565,-0.50410384,-0.41878334,0.031668484,0.29350156,0.09190036,2.3202004,-0.45586377,-2.4355886,-6.394724,-4.308879,0.05968823,5.1793804,0.18661685,-1.9343332
-0.12024226,-0.17007342,-0.54207194,-0.7293381,-0.4204118,0.10625537,0.022446409,0.18904215,2.427841,-0.5813839,-1.9545774,0.67329735,-3.346396,0.01512035,-1.6470327,-6.95907,3.527264
-0.13284788,-0.25380546,-0.39976388,-0.26656532,-0.40745607,-0.29742217,-0.13740763,0.07384436,3.153952,0.32090724,-0.51247746,-2.1052575,12.985904,1.3118849,-11.064032,-1.6815856,-5.467817
-0.09022651,-0.23059364,-0.30215558,0.23590994,-0.44841716,-0.7794045,-0.28757915,-0.22324857,4.280491,1.2413881,0.7542828,6.2201004,7.6788445,0.6475822,-7.109429,-4.035674,-5.454214
-0.030987095,-0.28186363,-0.11917686,0.53828156,-0.3999011,-0.6318858,-0.19188651,-0.40905946,4.086905,1.2067506,-1.5725409,1.085945,3.4622967,0.64055526,7.7421865,4.990263,-1.8073364
0.03438972,-0.22649151,-0.19515575,-0.12869976,-0.40148222,-0.39200836,-0.26375192,-0.07630617,3.3571327,1.001469,1.9680144,-2.6138115,-18.118675,-0.21678846,2.8348045,-3.900556,10.072266
0.037990153,-0.19032781,-0.42127934,-0.6855888,-0.42008477,-0.08514718,-0.48883188,0.48380893,3.6379862,-0.5133249,-0.12350604,-6.186574,-5.1718197,-0.17217721,7.0864887,-2.9325397,9.96177
0.008939639,-0.20935097,-0.5492967,-0.7468098,-0.42094675,0.2526276,-0.46218032,0.5090945,4.2294393,-0.43736273,-0.24838811,0.8673213,0.5326502,0.073729776,5.0576653,2.3630111,-1.840019
