0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
-0.054604646,0.09763879,-0.12664321,-0.14699693,-0.3876568,-0.3338876,-0.21145527,-0.016531654,6.722466,0.37633198,-0.5193014,-3.5550401,-2.1855302,-1.9932005,19.053946,9.160075,13.341306
-0.04165768,0.053775452,-0.3759383,-0.420817,-0.41649094,0.17070688,0.26207238,-0.003956758,5.827142,0.30646324,-1.855142,-5.137879,-6.180339,0.30932528,5.8936048,7.707085,-6.5106664
-0.058863986,-0.042277895,-0.5509601,-0.66585916,-0.41987956,0.6247758,0.17169084,-0.002234958,6.0802603,-0.6034856,-2.0215523,-2.3789394,-3.3267968,-0.017481133,9.036641,-4.88104,3.7098782
-0.04634302,-0.17917874,-0.32179052,-0.2708303,-0.4199098,0.4687569,0.061869875,0.03753546,6.3591986,0.48375905,-3.149174,8.60993,12.512139,0.10474602,-9.519952,-1.5600148,-1.2357193
-0.024779253,-0.24190062,0.11154996,0.29610097,-0.25166565,-0.3552305,-0.09065642,-0.19964221,6.2714963,0.28915095,0.65273213,8.099602,9.019671,4.4860773,-18.837042,-4.8609376,-6.323913
-0.012457352,-0.1045543,0.1547396,0.10094935,-0.2381959,-0.99075246,-0.52791303,-0.5171301,6.4856315,0.49715132,2.9052553,-3.5036037,-8.441209,-2.3507166,-6.022095,-9.323865,-5.591238
0.020827904,-0.09414035,-0.16223101,-0.15323925,-0.40079027,-0.26216105,-0.7809302,-0.15050751,6.6410193,0.38217527,-0.8125409,-7.8492675,-3.3322246,-3.09706,22.363298,0.7754834,13.02994
0.000499114,-0.08846551,-0.56041133,-0.5478073,-0.41610315,-0.045190003,-0.351189,0.6269178,5.8039436,-0.8631558,0.18068597,-6.941746,-8.44141,0.2345926,-3.8032508,10.231495,14.501658
-0.045907963,-0.07091741,-0.5389309,-0.7990684,-0.42003167,0.31172448,-0.24602303,0.34390894,7.394763,-1.2418861,0.3240599,0.25165993,1.8922647,0.055578418,10.994803,-2.1651735,-8.178083
-0.082046166,-0.04378309,-0.15295954,-0.6035712,-0.4146977,0.28005153,-0.16299039,-0.18518095,7.445737,-0.72882694,0.09827113,11.3511095,5.3960257,0.1753687,-6.5207872,2.147136,-10.293311
