0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
-0.053896915,0.11259134,-0.09925098,-0.13544397,-0.40149045,-0.34521258,-0.08021042,0.11733997,6.821945,0.345964,-0.54653364,-4.185652,-2.1954072,-1.9989867,18.904877,4.3090205,6.89094
-0.044208623,0.048129596,-0.355921,-0.42196983,-0.41318548,0.16712807,0.26465732,-0.002361991,5.8272424,0.090200156,-2.265962,-5.448271,-6.445809,0.15135324,5.6504955,7.821784,-6.2879558
-0.05989171,-0.048414268,-0.549496,-0.6718885,-0.41875792,0.63816094,0.1758612,-0.009268314,6.186791,-0.28727624,-1.7799613,-1.8575021,-3.3070984,-0.09106547,8.767903,-4.8555164,3.7737682
-0.05008617,-0.20428662,-0.31632656,-0.26675907,-0.41631964,0.46992254,0.06703298,0.048758164,6.4197793,0.07740213,-3.3016455,8.51469,12.180461,0.320008,-9.00417,-1.7676369,-1.2609373
-0.022514015,-0.24337554,0.066837326,0.29508293,-0.36181927,-0.3630532,-0.10077849,-0.19769965,6.2925262,0.49452287,0.86041373,7.8429375,8.812885,2.9740868,-18.688461,-4.9212,-6.378915
-0.012393333,-0.09662915,0.17051278,0.08533615,-0.3354485,-0.98928785,-0.5167567,-0.5177572,6.34737,0.39471185,3.1140199,-2.6262255,-8.317557,-0.17266838,-5.1029553,-9.515162,-5.9865217
0.020196363,-0.092564344,-0.15780841,-0.15276903,-0.38274318,-0.26160032,-0.7764477,-0.14913863,6.7933393,0.46423036,-1.0962214,-7.9073234,-3.34942,-1.9711823,21.708462,0.39023772,13.519804
0.006281212,-0.07924713,-0.55265933,-0.54693526,-0.41292542,-0.04725941,-0.35962382,0.5812809,5.9479885,-0.8343409,0.45941415,-6.5965033,-8.472504,0.24822307,-3.5941648,10.434389,12.521916
-0.049675927,-0.07153823,-0.5923176,-0.7558907,-0.42574352,0.28987032,-0.24691977,0.43626666,7.515786,-1.1187377,-0.08704161,1.6610386,-0.7699269,-0.07197638,11.041205,-1.8544495,-9.378845
-0.06872821,-0.05007142,-0.18823573,-0.6142192,-0.4054212,0.28616387,-0.16077767,-0.16194779,7.519308,-0.29576313,0.38239285,10.679339,5.2006364,0.50615966,-6.4828258,2.2528827,-10.772574
