duration,num_updates,action_loss,eval_avg_reward,eval_avg_ep_len,eval_d4rl_score
0:07:11,20100,0.6703180587291717,-221.24174114850325,1000.0,0.47471898773762866
0:08:47,20200,0.6181903570890427,-193.57195126768417,1000.0,0.697589636526247
0:10:22,20300,0.534260410964489,-136.77169626821774,1000.0,1.1550961711843013
0:11:57,20400,0.4380478236079216,-107.56481305559635,1000.0,1.390347578539681
0:13:30,20500,0.35335868418216704,-97.32928903695833,1000.0,1.4727912070800873
0:15:02,20600,0.28207753121852874,-35.85697905479853,1000.0,1.9679295390757419
0:16:34,20700,0.2298119282722473,81.84069066747051,1000.0,2.91594382197763
0:18:07,20800,0.19755415737628937,146.14512827090402,1000.0,3.4338939687042305
0:19:39,20900,0.1802194444835186,155.5528069576555,1000.0,3.509669587584683
0:21:11,21000,0.16841628700494765,180.78056605785025,1000.0,3.712870517637316
0:22:43,21100,0.16050009027123452,206.60735113252798,1000.0,3.9208963960596073
0:24:16,21200,0.15398069620132446,200.7056756492539,1000.0,3.8733604281479406
0:25:49,21300,0.1474248532950878,271.99020198621736,1000.0,4.4475327909211595
0:27:24,21400,0.1417914202809334,325.20001212338985,1000.0,4.8761195260669705
0:28:59,21500,0.13719872817397116,454.02434624677574,1000.0,5.913755267050444
0:30:33,21600,0.13308247096836567,533.6937419895443,1000.0,6.555464871433692
0:32:09,21700,0.12741242721676826,442.67126714756614,1000.0,5.822310116382952
0:33:42,21800,0.12336203105747699,222.35303051063934,1000.0,4.047722432460046
0:35:16,21900,0.11987353257834911,563.2692235961251,1000.0,6.793685212183869
0:36:46,22000,0.11576048456132412,260.34717630476337,1000.0,4.353752220173603
0:38:17,22100,0.11196736149489879,288.67824806846977,1000.0,4.5819492672798825
0:39:51,22200,0.11055094860494137,105.31379739689491,1000.0,3.1050116301686055
0:41:22,22300,0.10744120240211487,66.38185713639072,1000.0,2.7914282303006828
0:42:56,22400,0.10408868990838528,11.818152780263393,1000.0,2.351936342485867
0:44:29,22500,0.10248413160443307,-4.345919848296581,1000.0,2.221740292233574
0:46:02,22600,0.09963734947144985,-13.261930899950977,1000.0,2.149924887192635
0:47:36,22700,0.09672630690038204,-24.06257061976482,1000.0,2.0629294458808207
0:49:08,22800,0.094422697275877,-21.18544045107129,1000.0,2.0861037406661427
0:50:42,22900,0.09262464053928852,-37.01306137984557,1000.0,1.9586176932342638
0:52:14,23000,0.09187096357345581,-34.656278752555444,1000.0,1.9776007673906022
0:53:47,23100,0.08874916017055512,-40.485828841001016,1000.0,1.9306457447484442
0:55:20,23200,0.0866004117578268,-34.42952562012086,1000.0,1.9794271859488282
0:56:50,23300,0.08605622507631779,-46.74338542316349,1000.0,1.8802432768834891
0:58:22,23400,0.08475012749433518,-51.40846998812562,1000.0,1.8426676238653357
0:59:51,23500,0.08379767380654812,-57.26085219475292,1000.0,1.7955286963574635
1:01:21,23600,0.08189784273505211,-57.702844563147856,1000.0,1.7919685997203691
1:02:48,23700,0.08055080123245716,-60.49068776323757,1000.0,1.769513480783755
1:04:12,23800,0.0788021107763052,-66.72581170887446,1000.0,1.7192917000970556
1:05:42,23900,0.07781825192272664,-55.71407476911376,1000.0,1.8079874569721495
1:07:08,24000,0.07654546350240707,-62.76639926982402,1000.0,1.7511834066446574
1:08:44,24100,0.07610850729048252,-71.92017650297078,1000.0,1.6774528767199575
1:10:18,24200,0.07483531758189202,-73.23512511339865,1000.0,1.6668614175440095
1:11:52,24300,0.07383447162806987,-72.45917859983682,1000.0,1.673111400057345
1:13:27,24400,0.07279624000191688,-73.86718423557735,1000.0,1.661770398521477
1:15:01,24500,0.0717965690791607,-85.73954009681933,1000.0,1.5661426519848622
1:16:33,24600,0.07082071773707867,-77.30172092487331,1000.0,1.6341063857650113
1:18:06,24700,0.0702551046013832,-75.34851217639674,1000.0,1.6498388110153503
1:19:31,24800,0.06892075315117836,-75.13007947347471,1000.0,1.651598211373162
1:20:51,24900,0.0676635180786252,-70.55510696828892,1000.0,1.6884480427167552
1:22:23,25000,0.06751518085598945,-75.33796526219422,1000.0,1.6499237627848131
1:23:57,25100,0.06600281540304423,-77.28200251053985,1000.0,1.6342652108162499
1:25:32,25200,0.06607352513819933,-78.93214343804303,1000.0,1.6209738927148345
1:27:05,25300,0.06517391584813595,-73.35760001318378,1000.0,1.6658749243146425
1:28:39,25400,0.06419522024691104,-75.6864564499153,1000.0,1.6471167860264406
1:30:13,25500,0.06354269150644541,-77.97044556618178,1000.0,1.6287200385859648
1:31:43,25600,0.06285499282181263,-69.87114341989579,1000.0,1.6939571340555304
1:33:10,25700,0.062193874716758725,-77.84080207024492,1000.0,1.6297642723938515
1:34:34,25800,0.06112903632223606,-77.84383329533861,1000.0,1.6297398569174
1:36:01,25900,0.06125012904405594,-65.51448863001625,1000.0,1.7290484912270416
1:37:25,26000,0.06026611853390932,-70.59861490451081,1000.0,1.6880976012419557
1:38:50,26100,0.05944918315857649,-68.84918780046651,1000.0,1.702188635375794
1:40:14,26200,0.05841579012572765,-68.75717495979958,1000.0,1.702929767187226
1:41:39,26300,0.05878376342356205,-71.26671002136968,1000.0,1.6827163246660153
1:43:04,26400,0.0581616048514843,-67.76466086975573,1000.0,1.7109241271058482
1:44:29,26500,0.0574720998108387,-57.8888450986905,1000.0,1.79047042932551
1:45:54,26600,0.05696171205490828,-66.37864048607501,1000.0,1.722088044991589
1:47:20,26700,0.056692778393626214,-65.29039968838782,1000.0,1.730853450643871
1:48:43,26800,0.05580761481076479,-68.2322838851828,1000.0,1.707157584414862
