duration,num_updates,action_loss,eval_avg_reward,eval_avg_ep_len,eval_d4rl_score
00157,100100,0.8823261624574661,-136.2784499284469,1000.0,1.1590691009474414
00354,100200,0.8168232458829879,-124.6094358779072,1000.0,1.2530589990771015
00556,100300,0.7023419749736786,-138.82310008519943,1000.0,1.138572818401811
00758,100400,0.5733967518806458,-84.87880978662822,1000.0,1.5730755388441622
01001,100500,0.4708681082725525,-30.012751734531168,1000.0,2.0150027817764053
01151,100600,0.3927457845211029,-5.3738652910982285,1000.0,2.213460544944444
01330,100700,0.3328230208158493,120.76476224722232,1000.0,3.229463842326158
01510,100800,0.28834845542907717,303.23488158986254,1000.0,4.699197947919121
01647,100900,0.2645415718853474,550.4679956542492,1000.0,6.690575720243902
01826,101000,0.24879975169897078,605.7214520338609,1000.0,7.135623323575148
02005,101100,0.23588296085596083,657.6799180644184,1000.0,7.5541309119655855
02144,101200,0.22677384555339813,398.7442891245572,1000.0,5.468493403878825
02322,101300,0.21939170554280282,620.9108485336781,1000.0,7.257968692557097
02502,101400,0.2124407009780407,555.3178131446526,1000.0,6.729639333493162
02640,101500,0.2053486441075802,148.95348361461384,1000.0,3.4565143059087227
02818,101600,0.1982163345813751,296.13745771124485,1000.0,4.642030637600949
02959,101700,0.1920802664756775,267.0621348812295,1000.0,4.407838903916841
03139,101800,0.18665237173438073,191.1233621128921,1000.0,3.7961781855670047
03318,101900,0.1811976870894432,138.7711981085277,1000.0,3.374499495291549
03459,102000,0.17763240918517112,265.3297647070691,1000.0,4.393885257491617
03638,102100,0.1737355937063694,255.32129121491238,1000.0,4.313270442916283
03817,102200,0.1688595175743103,305.4283547259221,1000.0,4.716865620244773
03957,102300,0.16426758885383605,252.3166419961551,1000.0,4.289069026004518
04138,102400,0.1602341489493847,216.05913333750703,1000.0,3.9970272536232447
04319,102500,0.15720684543251992,122.16884942011097,1000.0,3.2407732819903314
04458,102600,0.15447836562991143,226.05284477408335,1000.0,4.077523164913846
04642,102700,0.15168531119823456,155.8406539032425,1000.0,3.511988095813011
04823,102800,0.1480401086807251,208.87337267017847,1000.0,3.939148420828876
05006,102900,0.14434965088963508,142.04764002493482,1000.0,3.4008901089815393
05150,103000,0.14190613180398942,222.98295818718907,1000.0,4.052796283420507
05332,103100,0.1400788825750351,134.8204441516378,1000.0,3.3426775298422697
05515,103200,0.13720078527927398,153.55069000330047,1000.0,3.4935432235432593
05657,103300,0.13549188584089278,178.1490515232063,1000.0,3.691674572378645
05840,103400,0.13325405955314637,153.62436874252757,1000.0,3.4941366804680927
10023,103500,0.1300787029415369,239.97750591848148,1000.0,4.1896815252331985
10203,103600,0.12828488923609258,147.71923896373758,1000.0,3.446572889393111
10344,103700,0.12513145357370375,261.4258523467594,1000.0,4.362440585005713
10525,103800,0.12442714259028435,111.43152372651684,1000.0,3.1542878134019015
10705,103900,0.12185919672250747,138.7541480374932,1000.0,3.37436216282861
10844,104000,0.12054242417216302,247.6538194346132,1000.0,4.251511592646579
11024,104100,0.11883563742041588,175.64196958459803,1000.0,3.671480888919878
11207,104200,0.11767262138426304,171.29208953958545,1000.0,3.636444099990134
11350,104300,0.11575430683791638,178.9665270610055,1000.0,3.6982590569107963
11535,104400,0.1147821669280529,106.8354858926454,1000.0,3.117268308074829
11719,104500,0.11221695892512798,363.09687092623676,1000.0,5.181365700498387
11903,104600,0.11113121658563614,154.4813991846528,1000.0,3.501039766161579
12046,104700,0.11015587024390698,288.16402101914406,1000.0,4.577807345111283
12231,104800,0.10837745852768421,278.54079351356313,1000.0,4.500295554568339
12415,104900,0.10642550028860569,152.033482284282,1000.0,3.481322636753796
12558,105000,0.1061814646422863,278.5314318621746,1000.0,4.500220149683528
12745,105100,0.10425230115652084,420.5767236770642,1000.0,5.644346161500426
12944,105200,0.10361178576946259,806.6557559774283,1000.0,8.754080090926164
13141,105300,0.10286257319152355,240.8027668076053,1000.0,4.19632871809484
13337,105400,0.10246154181659221,556.4154740642955,1000.0,6.73848061499058
13536,105500,0.09984429009258747,477.3749105656223,1000.0,6.101836038235818
13733,105600,0.1000465114414692,617.204085573823,1000.0,7.2281119907416205
13930,105700,0.09773148916661739,392.33317229084116,1000.0,5.416854060958465
14127,105800,0.09682724319398403,659.2916483696488,1000.0,7.567112845704373
14330,105900,0.09602433927357197,614.5567497324552,1000.0,7.206788610294268
14538,106000,0.09558600157499314,492.7222826003314,1000.0,6.225453845863154
14742,106100,0.09507103607058526,332.06711464824195,1000.0,4.93143167703031
14950,106200,0.09425460077822208,859.4914585425109,1000.0,9.17965351814056
15157,106300,0.09352327056229115,240.58152387375657,1000.0,4.194546682292647
15400,106400,0.09223640225827694,336.0905428379952,1000.0,4.9638390084508615
15606,106500,0.09037520922720432,552.0803824726368,1000.0,6.703562941970562
15813,106600,0.09004331402480602,788.8824975597433,1000.0,8.61092260213789
20019,106700,0.09036628358066082,627.060973509006,1000.0,7.3075058357477864
20224,106800,0.09004031226038933,625.9811247718179,1000.0,7.2988080252589
20430,106900,0.08853269770741462,477.8987963858646,1000.0,6.1060557584849215
20635,107000,0.08865896254777908,799.9284646646636,1000.0,8.699894071230174
20842,107100,0.08724552385509014,1472.6473636529633,1000.0,14.11841362326405
21048,107200,0.08647020511329175,1128.5070930450465,1000.0,11.346482007048735
21255,107300,0.08575376637279987,808.4574684736551,1000.0,8.768592265926197
21459,107400,0.0859175381064415,685.7686268538051,1000.0,7.7803758086015655
21706,107500,0.08491210527718067,820.2463452966722,1000.0,8.863547617497417
