duration,num_updates,action_loss,eval_avg_reward,eval_avg_ep_len,eval_d4rl_score
0:00:52,20100,0.5516137593984604,-220.4923903580143,1000.0,0.4807547508412115
0:01:45,20200,0.5070850604772568,-180.31981743291846,1000.0,0.8043310204799875
0:02:36,20300,0.4380979612469673,-143.50324127674347,1000.0,1.1008758894307378
0:03:22,20400,0.36766844779253005,-136.59042691013798,1000.0,1.1565562335705624
0:04:14,20500,0.3251152139902115,-151.24590924160697,1000.0,1.0385113597354767
0:05:06,20600,0.3006007573008537,-144.5750868639388,1000.0,1.0922425415647667
0:05:57,20700,0.28203922271728515,-138.76980037255296,1000.0,1.1390021292707742
0:06:44,20800,0.26582459926605223,-129.65894420018535,1000.0,1.212386944800687
0:07:36,20900,0.25443749740719795,-125.10879893657818,1000.0,1.2490368012452264
0:08:28,21000,0.24837563186883926,-120.00356158677884,1000.0,1.2901577336870877
0:09:17,21100,0.24470834508538247,-118.56959676546906,1000.0,1.3017078275418632
0:10:06,21200,0.24249490037560462,-116.49795583709836,1000.0,1.3183941833021247
0:10:59,21300,0.24134901374578477,-115.28798405677075,1000.0,1.3281400901868194
0:11:51,21400,0.23969859763979912,-114.89410946789762,1000.0,1.3313126146455019
0:12:38,21500,0.23871809497475624,-114.53814541803565,1000.0,1.3341797827403765
0:13:30,21600,0.23847096264362336,-113.51167552871773,1000.0,1.3424476449532676
0:14:22,21700,0.23795023933053017,-113.81834293002706,1000.0,1.3399775444217306
0:15:16,21800,0.23761047825217246,-113.28099946236394,1000.0,1.3443056613961
0:16:02,21900,0.23598321303725242,-114.19412901432668,1000.0,1.3369507166512873
0:16:54,22000,0.2356162752211094,-113.41115641998594,1000.0,1.34325729183079
0:17:47,22100,0.23579435914754868,-115.53896104555902,1000.0,1.3261185567901734
0:18:39,22200,0.2365504078567028,-116.19297226769751,1000.0,1.3208507211462863
0:19:26,22300,0.23524775445461274,-114.41200294597493,1000.0,1.3351958170040648
0:20:17,22400,0.23507366701960564,-112.15168871642297,1000.0,1.3534018713679108
0:21:10,22500,0.23483563259243964,-113.99841291674588,1000.0,1.3385271425596188
0:21:59,22600,0.23451418966054915,-114.74605818387525,1000.0,1.3325051168605957
0:22:49,22700,0.2347552554309368,-113.80612957189153,1000.0,1.3400759188244014
0:23:40,22800,0.23464081615209578,-112.12765548642233,1000.0,1.3535954507765655
0:24:33,22900,0.23434121116995812,-112.05267218562908,1000.0,1.3541994154965031
0:25:22,23000,0.23474732294678688,-110.73600404136684,1000.0,1.3648047249265705
0:26:12,23100,0.23391815409064293,-113.81203350771916,1000.0,1.3400283646501927
0:27:03,23200,0.23382720619440078,-116.15742621605781,1000.0,1.3211370323768714
0:27:56,23300,0.23335164561867713,-115.81362477906643,1000.0,1.3239062348047457
0:28:43,23400,0.2329489368200302,-113.52021984569312,1000.0,1.3423788234162783
0:29:34,23500,0.23313162207603455,-111.32455399299435,1000.0,1.3600641573209356
0:30:26,23600,0.23327081188559531,-113.42306415024086,1000.0,1.3431613791556687
0:31:19,23700,0.23331917509436606,-111.40289525621594,1000.0,1.359433145367599
0:32:05,23800,0.23274582087993623,-114.01013271562708,1000.0,1.3384327436071302
0:32:56,23900,0.23253607660531997,-111.12069814041965,1000.0,1.3617061461585227
0:33:49,24000,0.2316221621632576,-108.26982304187257,1000.0,1.3846689653763495
0:34:40,24100,0.2312731233239174,-111.36614289628899,1000.0,1.3597291729968912
0:35:28,24200,0.2299070931971073,-111.69727397981167,1000.0,1.3570620259120507
0:36:21,24300,0.22824398308992386,-114.43795907986551,1000.0,1.334986749265381
0:37:12,24400,0.2256560942530632,-115.69557855167821,1000.0,1.3248570565998652
0:38:00,24500,0.22284330144524575,-116.4017932160888,1000.0,1.319168740168148
0:38:51,24600,0.22039443746209145,-116.03296288152463,1000.0,1.3221395417648103
0:39:44,24700,0.2201558755338192,-113.47382251312077,1000.0,1.3427525379857423
0:40:36,24800,0.21884869337081908,-115.8821489934933,1000.0,1.323354295805829
0:41:21,24900,0.216664287596941,-115.78522398143355,1000.0,1.324134993469767
0:42:16,25000,0.21570159405469894,-116.60210369349336,1000.0,1.3175553081091913
0:43:08,25100,0.21405728861689569,-113.07336740379358,1000.0,1.3459780662752916
0:44:00,25200,0.21254038244485854,-117.73703646817202,1000.0,1.3084138146279038
0:44:45,25300,0.21204745933413505,-116.69791587061304,1000.0,1.316783573948271
0:45:39,25400,0.21046732783317565,-111.21610145979639,1000.0,1.3609377052062182
0:46:31,25500,0.20912587836384774,-112.83445303310687,1000.0,1.347902439428439
0:47:31,25600,0.20812304854393004,-111.15771903105924,1000.0,1.3614079556066205
0:48:29,25700,0.20673396170139313,-110.87329985230971,1000.0,1.3636988543510224
0:49:34,25800,0.20550781324505807,-112.4262170757629,1000.0,1.351190639774881
0:50:46,25900,0.2052735196053982,-112.73424041403841,1000.0,1.3487096176370479
0:51:55,26000,0.20309916958212854,-111.17905055727843,1000.0,1.361236137493487
0:53:16,26100,0.2013485424220562,-110.94077907341378,1000.0,1.36315533241421
0:54:37,26200,0.19951283916831017,-111.71578053148653,1000.0,1.3569129619980713
0:55:51,26300,0.19941637203097343,-114.23885658287551,1000.0,1.33659045145722
0:57:06,26400,0.1987543898820877,-114.18307454381313,1000.0,1.337039756612414
0:58:26,26500,0.1972986540198326,-108.02846470391299,1000.0,1.3866130238460121
0:59:45,26600,0.19523692786693572,-111.11644503652981,1000.0,1.3617404034487797
1:00:58,26700,0.1961733068525791,-109.54998816014236,1000.0,1.3743576752764153
