duration,num_updates,action_loss,eval_avg_reward,eval_avg_ep_len,eval_d4rl_score,,1:10,1:01
1:43:04,107100,0.085688967,3171.316767,1000,27.80061192,,3171.316767,
1:44:23,107200,0.085794059,2460.562903,1000,22.07573379,,2460.562903,
1:45:44,107300,0.084716738,2255.675583,1000,20.42543684,,2255.675583,
1:47:03,107400,0.082908279,1938.147676,1000,17.86785867,,1938.147676,
1:48:21,107500,0.082799481,1820.2665,1000,16.91836631,,1820.2665,
1:49:41,107600,0.080462698,2367.064121,1000,21.32263324,,2367.064121,
1:51:01,107700,0.082047652,2884.902513,1000,25.49364353,,2884.902513,
1:52:23,107800,0.080826295,3719.903599,1000,32.21929033,,3719.903599,
1:53:49,107900,0.079465111,2759.656941,1000,24.48483349,,2759.656941,
1:55:09,108000,0.079846398,3622.550033,1000,31.43514081,,3622.550033,
1:56:25,108100,0.078102718,2542.281723,1000,22.73395081,,2542.281723,
1:57:45,108200,0.079724153,3021.442715,1000,26.59342794,,3021.442715,
1:59:02,108300,0.077939803,3706.764522,1000,32.11345958,,3706.764522,
2:00:20,108400,0.076670463,3871.924408,1000,33.44376571,,3871.924408,
2:01:45,108500,0.077235031,3455.84327,1000,30.09237513,,3455.84327,
2:03:07,108600,0.076171006,3668.173642,1000,31.8026233,,3668.173642,
2:04:30,108700,0.075079857,2938.835074,1000,25.92805178,,2938.835074,
2:05:54,108800,0.075496518,2767.667775,1000,24.549358,,2767.667775,
2:07:16,108900,0.074091254,3277.721309,1000,28.65766394,,3277.721309,
2:08:40,109000,0.074439209,4243.436508,1000,36.436168,,4243.436508,
2:10:04,109100,0.074505761,3310.738658,1000,28.92360734,,3310.738658,
2:11:27,109200,0.073865351,3605.177607,1000,31.29521189,,3605.177607,
2:12:51,109300,0.0729357,3514.718348,1000,30.56659365,,3514.718348,
2:14:14,109400,0.071711093,3019.892912,1000,26.58094481,,3019.892912,
2:15:37,109500,0.072563888,3414.751502,1000,29.76139506,,3414.751502,
2:17:01,109600,0.071574861,3042.833489,1000,26.76572327,,3042.833489,
2:18:26,109700,0.072409576,3691.781753,1000,31.99277852,,3691.781753,
2:19:48,109800,0.07083075,3314.201778,1000,28.95150158,,3314.201778,
2:21:12,109900,0.070785887,3290.955467,1000,28.76426053,,3290.955467,
2:22:36,110000,0.070550577,4357.969946,1000,37.35869548,,4357.969946,
2:24:00,110100,0.070110619,4627.324829,1000,39.52825651,,4627.324829,
2:25:23,110200,0.070063144,4127.647654,1000,35.50352857,,4127.647654,
2:26:48,110300,0.069817475,4022.182454,1000,34.65404263,,4022.182454,
2:28:12,110400,0.06861527,4564.390348,1000,39.02134089,,4564.390348,
2:29:35,110500,0.068707006,3724.871359,1000,32.25930393,,3724.871359,
2:30:59,110600,0.067142849,4610.806959,1000,39.39521073,,4610.806959,
2:32:22,110700,0.069437024,3467.43445,1000,30.1857381,,3467.43445,
2:33:47,110800,0.068017475,4175.236137,1000,35.88683745,,4175.236137,
2:35:11,110900,0.067696736,3469.787052,1000,30.2046875,,3469.787052,
2:36:36,111000,0.066862154,3785.629788,1000,32.7486922,,3785.629788,
2:38:05,111100,0.066535144,4572.180723,1000,39.08408968,,4572.180723,
2:39:36,111200,0.066244841,4243.992006,1000,36.44064235,,4243.992006,
2:41:06,111300,0.065945237,4522.129598,1000,38.68094507,,4522.129598,
2:42:37,111400,0.065078922,3198.422076,1000,28.01893587,,3198.422076,
2:44:08,111500,0.065249815,4752.566144,1000,40.53703226,,4752.566144,
2:45:38,111600,0.065947537,4506.143876,1000,38.55218557,,4506.143876,
2:47:09,111700,0.064471772,4586.559819,1000,39.19990836,,4586.559819,
2:48:38,111800,0.065577559,4613.05976,1000,39.41335628,,4613.05976,
2:50:10,111900,0.064654335,4350.131334,1000,37.29555816,,4350.131334,
2:51:42,112000,0.064320895,4689.923322,1000,40.03246585,,4689.923322,
2:53:16,112100,0.064117808,4647.83641,1000,39.69347024,,4647.83641,
2:54:56,112200,0.063512501,4795.05549,1000,40.87926934,,4795.05549,
2:56:35,112300,0.064626161,4426.501983,1000,37.91069749,,4426.501983,
2:58:15,112400,0.063066587,4539.580095,1000,38.82150283,,4539.580095,
2:59:54,112500,0.062881509,4615.207104,1000,39.43065239,,4615.207104,
3:01:35,112600,0.063857865,4593.64747,1000,39.25699695,,4593.64747,
3:03:14,112700,0.063217751,4444.964895,1000,38.0594099,,4444.964895,
3:04:53,112800,0.062043435,4954.554719,1000,42.16398082,,4954.554719,
3:06:33,112900,0.062828657,4579.371534,1000,39.14200919,,4579.371534,
3:08:12,113000,0.062576981,4921.783031,1000,41.90001613,,4921.783031,
3:09:51,113100,0.061790312,4697.574055,1000,40.09408988,,4697.574055,
3:11:31,113200,0.060547825,4624.884976,1000,39.50860433,,4624.884976,
3:13:09,113300,0.061010827,4802.815401,1000,40.94177275,,4802.815401,
3:14:47,113400,0.061325763,4400.761013,1000,37.70336283,,4400.761013,
3:16:27,113500,0.061325435,4642.783415,1000,39.6527701,,4642.783415,
3:18:06,113600,0.060107859,4540.261106,1000,38.82698813,,4540.261106,
3:19:47,113700,0.060683446,4975.275309,1000,42.33087805,,4975.275309,
3:21:25,113800,0.061457146,4951.066394,1000,42.13588355,,4951.066394,
3:23:05,113900,0.06071495,4309.81769,1000,36.97084561,,4309.81769,
3:24:43,114000,0.060066181,4194.668419,1000,36.04335781,,4194.668419,
3:26:24,114100,0.059996959,4656.131932,1000,39.76028782,,4656.131932,
3:28:03,114200,0.060156256,4534.785929,1000,38.78288747,,4534.785929,
3:29:41,114300,0.059462745,4452.917383,1000,38.12346446,,4452.917383,
3:31:22,114400,0.0596698,4795.861995,1000,40.88576546,,4795.861995,
3:33:01,114500,0.0593703,4191.980085,1000,36.0217042,,4191.980085,
3:34:44,114600,0.059655198,4527.803638,1000,38.72664751,,4527.803638,
3:36:23,114700,0.059237971,4550.366454,1000,38.90838324,,4550.366454,
3:38:04,114800,0.059088962,4789.691157,1000,40.83606148,,4789.691157,
3:39:44,114900,0.058259301,4103.217324,1000,35.30675066,,4103.217324,
3:41:28,115000,0.058685994,4504.578854,1000,38.53957986,,4504.578854,
3:43:12,115100,0.057668233,4817.986511,1000,41.06397083,,4817.986511,
3:44:57,115200,0.058384571,4724.152832,1000,40.3081728,,4724.152832,
3:46:40,115300,0.057185065,4086.250337,1000,35.17008741,,4086.250337,
3:48:25,115400,0.058201697,4994.228682,1000,42.48354096,,4994.228682,
3:50:09,115500,0.057618051,3800.063513,1000,32.86495089,,3800.063513,
3:51:53,115600,0.057005946,4535.749106,1000,38.79064553,,4535.749106,
3:53:38,115700,0.058435186,4197.172616,1000,36.06352825,,4197.172616,
3:55:23,115800,0.05713262,4443.350363,1000,38.04640541,,4443.350363,
3:57:06,115900,0.057880144,3911.811668,1000,33.76504387,,3911.811668,
3:58:49,116000,0.057655773,4776.828178,1000,40.73245461,,4776.828178,
4:00:32,116100,0.056256718,4488.316256,1000,38.40859022,,4488.316256,
4:02:15,116200,0.057156629,4545.01832,1000,38.86530586,,4545.01832,
4:03:58,116300,0.056410364,4908.338751,1000,41.79172708,,4908.338751,
4:05:42,116400,0.056667031,4754.493976,1000,40.55256028,,4754.493976,
4:07:24,116500,0.056752937,4496.826643,1000,38.47713846,,4496.826643,
4:09:08,116600,0.056372012,4748.730393,1000,40.5061366,,4748.730393,
4:10:51,116700,0.055970346,4540.665047,1000,38.83024174,,4540.665047,
4:12:34,116800,0.05550769,4586.533918,1000,39.19969973,,4586.533918,
4:14:18,116900,0.0564102,4382.77325,1000,37.55847758,,4382.77325,
4:16:03,117000,0.05589392,4932.311552,1000,41.98481975,,4932.311552,
4:17:46,117100,0.056713797,4942.560335,1000,42.06737018,,4942.560335,
4:19:31,117200,0.056485093,4489.134652,1000,38.41518211,,4489.134652,
4:21:13,117300,0.055461292,4817.179902,1000,41.05747388,,4817.179902,
4:22:57,117400,0.055523627,4792.079619,1000,40.85529972,,4792.079619,
4:24:41,117500,0.055102702,4638.012322,1000,39.61434059,,4638.012322,
4:26:25,117600,0.055540181,4649.584907,1000,39.70755379,,4649.584907,
4:28:08,117700,0.054995985,4637.476146,1000,39.61002187,,4637.476146,
4:29:50,117800,0.05501278,4710.03152,1000,40.19443048,,4710.03152,
4:31:33,117900,0.054868432,4635.72321,1000,39.59590258,,4635.72321,
4:33:17,118000,0.054894373,4219.327903,1000,36.24198147,,4219.327903,
4:35:00,118100,0.054389724,3515.105697,1000,30.56971361,,3515.105697,
4:36:42,118200,0.054644149,4662.042183,1000,39.80789286,,4662.042183,
4:38:27,118300,0.054338151,4672.200472,1000,39.88971439,,4672.200472,
4:40:09,118400,0.053936149,4961.030708,1000,42.21614268,,4961.030708,
4:41:52,118500,0.054343124,4875.079026,1000,41.52383142,,4875.079026,
4:43:36,118600,0.053911099,4846.727885,1000,41.29547272,,4846.727885,
4:45:20,118700,0.05471145,4913.662041,1000,41.83460435,,4913.662041,
4:47:03,118800,0.054486929,5039.502071,1000,42.84820255,,5039.502071,
4:48:46,118900,0.054723187,5020.808213,1000,42.69762995,,5020.808213,
4:50:29,119000,0.054847328,4961.746309,1000,42.2219066,,4961.746309,
4:52:12,119100,0.053290466,4932.39869,1000,41.98552162,,4932.39869,
4:53:55,119200,0.054316411,4432.781136,1000,37.96127391,,4432.781136,
4:55:41,119300,0.054277684,4906.662104,1000,41.77822226,,4906.662104,
4:57:25,119400,0.05389944,3921.904031,1000,33.8463344,,3921.904031,
4:59:15,119500,0.053308084,4113.291896,1000,35.38789788,,4113.291896,
5:01:06,119600,0.053208921,4632.725623,1000,39.57175804,,4632.725623,
5:02:55,119700,0.053625317,4298.971401,1000,36.88348248,,4298.971401,
5:04:45,119800,0.053262096,4375.637958,1000,37.50100525,,4375.637958,
5:06:31,119900,0.052301461,5037.041085,1000,42.82838015,,5037.041085,
5:08:15,120000,0.05372855,4258.850489,1000,36.56032232,,4258.850489,
